epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.11577019840478897,0.06480026245117188,4.1876068115234375,0.6084710955619812,0.036562275141477585,0.4765983819961548,0.35401806235313416,2.1232750415802,0.882612943649292,0.2230912446975708
1,0.3684471845626831,0.32400771975517273,2.440037250518799,0.7317020893096924,0.21254539489746094,0.6403475999832153,0.6266904473304749,1.3345814943313599,0.9472500085830688,0.47039106488227844
2,0.5086749792098999,0.48311734199523926,1.819097638130188,0.7941300272941589,0.35103511810302734,0.740906298160553,0.7119744420051575,0.9838119149208069,0.9417752623558044,0.5743016600608826
3,0.5835686922073364,0.5694456100463867,1.4919629096984863,0.8168421983718872,0.4404543936252594,0.7918063402175903,0.7779001593589783,0.7907951474189758,0.9382219314575195,0.6655493378639221
4,0.6357429027557373,0.6280648708343506,1.2925931215286255,0.8384119868278503,0.5047022104263306,0.8247051239013672,0.8175245523452759,0.6400803327560425,0.950550377368927,0.718311607837677
5,0.6728948950767517,0.6681593656539917,1.1436938047409058,0.8431612849235535,0.5556348562240601,0.8469273447990417,0.8378174304962158,0.5798529982566833,0.9580341577529907,0.7453755140304565
6,0.7015425562858582,0.6994374990463257,1.0293000936508179,0.8547623157501221,0.5938421487808228,0.8443202972412109,0.8461012840270996,0.5425593852996826,0.9513856768608093,0.7628802061080933
7,0.7247586846351624,0.7243073582649231,0.9390702247619629,0.8609821796417236,0.6274248361587524,0.8618249297142029,0.8610352873802185,0.5008136630058289,0.9567985534667969,0.7836126685142517
8,0.743660569190979,0.7459818720817566,0.8611173033714294,0.8678416013717651,0.6556690335273743,0.8789571523666382,0.8844884037971497,0.4114672541618347,0.9452054500579834,0.8309124708175659
9,0.7589931488037109,0.7608801126480103,0.807995080947876,0.8720995187759399,0.6765883564949036,0.8820608258247375,0.8874057531356812,0.38685372471809387,0.9441176652908325,0.8368715047836304
10,0.7735187411308289,0.775730311870575,0.7576135396957397,0.8792873620986938,0.695428192615509,0.9024208784103394,0.9056352376937866,0.3481413424015045,0.9628024101257324,0.8547486066818237
11,0.7856544256210327,0.7875314354896545,0.7072234153747559,0.8810655474662781,0.7134609818458557,0.9116076827049255,0.9131436944007874,0.3109452724456787,0.9601424336433411,0.8702669143676758
12,0.7967969179153442,0.800711989402771,0.6760293245315552,0.8887587189674377,0.7300350666046143,0.9190564751625061,0.9165404438972473,0.30206650495529175,0.9696592092514038,0.8689013123512268
13,0.80660480260849,0.808724045753479,0.6460418105125427,0.8916265368461609,0.7413017153739929,0.9169459939002991,0.9204596877098083,0.28722020983695984,0.9604535102844238,0.8834264278411865
14,0.8146745562553406,0.8173191547393799,0.6145639419555664,0.8931064605712891,0.7543685436248779,0.9214152693748474,0.9247235059738159,0.2778058648109436,0.9692349433898926,0.8839230537414551
15,0.824327290058136,0.8268590569496155,0.5839447379112244,0.8993772268295288,0.7665042281150818,0.926753580570221,0.9312567114830017,0.24999579787254333,0.9617573022842407,0.9022967219352722
16,0.8293864130973816,0.8339251279830933,0.5594639778137207,0.9009281396865845,0.7773053050041199,0.9265052676200867,0.9312026500701904,0.25419342517852783,0.967099130153656,0.8977032899856567
17,0.831900417804718,0.8374192714691162,0.5434039235115051,0.9021431803703308,0.7825816869735718,0.9252638220787048,0.9182837009429932,0.30456289649009705,0.9773013591766357,0.8659217953681946
18,0.8389769792556763,0.8429417014122009,0.5218808054924011,0.903945803642273,0.7906824946403503,0.9314711093902588,0.9320967197418213,0.2457149177789688,0.969802737236023,0.8970825672149658
