epoch,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.4544213116168976,0.28713956475257874,2.6238255500793457,0.9763839840888977,0.197616308927536,0.7827436327934265,0.7005866765975952,0.9886589050292969,0.9642547369003296,0.5525760650634766
1,0.8700456023216248,0.8279874324798584,0.6171334385871887,0.9749133586883545,0.7249138951301575,0.9101179242134094,0.895089864730835,0.43336060643196106,0.9753954410552979,0.826815664768219
2,0.9398181438446045,0.9298997521400452,0.2977765202522278,0.9819698929786682,0.8840746283531189,0.9356921315193176,0.933313250541687,0.28071510791778564,0.9783526062965393,0.8921167254447937
3,0.9679692387580872,0.9633856415748596,0.17245130240917206,0.9890856742858887,0.9394456744194031,0.9559279680252075,0.9540296196937561,0.2063128799200058,0.9840306043624878,0.9256362318992615
4,0.983115553855896,0.979404091835022,0.10675350576639175,0.9932994842529297,0.966231107711792,0.9621353149414062,0.9633287787437439,0.16056370735168457,0.9835683703422546,0.9437616467475891
5,0.990781843662262,0.9892101287841797,0.06802354753017426,0.996067225933075,0.9826189279556274,0.9652389883995056,0.9676609635353088,0.13897942006587982,0.9843308329582214,0.9514586925506592
6,0.9951891899108887,0.9947190880775452,0.043575216084718704,0.9974721670150757,0.9920233488082886,0.9723153114318848,0.9722226858139038,0.1158897876739502,0.9859568476676941,0.9587833881378174
7,0.9979825615882874,0.9978022575378418,0.026905499398708344,0.9989112615585327,0.9967100024223328,0.9745499491691589,0.9750304818153381,0.10674690455198288,0.9856635332107544,0.9644941091537476
8,0.9990378618240356,0.9989274144172668,0.017427809536457062,0.9992235898971558,0.9986343383789062,0.9757914543151855,0.9758411645889282,0.09540802985429764,0.985564112663269,0.966232180595398
9,0.9994102716445923,0.9993632435798645,0.01210491918027401,0.9994722604751587,0.9992551207542419,0.976039707660675,0.9770577549934387,0.09056144952774048,0.9858443140983582,0.968342661857605
10,0.9998137950897217,0.9997199773788452,0.008064573630690575,0.9998137354850769,0.9996275305747986,0.9802607297897339,0.9816454648971558,0.07478917390108109,0.9886664152145386,0.9746741056442261
