epoch,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.04463205114006996,0.024101804941892624,4.858406066894531,0.5104808807373047,0.01284956093877554,0.23724395036697388,0.14875221252441406,3.096367597579956,0.9113233089447021,0.08292985707521439
1,0.2050032615661621,0.17679452896118164,3.279735565185547,0.6352413296699524,0.10540364682674408,0.5062693953514099,0.3849315047264099,1.8759788274765015,0.9166666865348816,0.24581006169319153
2,0.34132033586502075,0.31683841347694397,2.446852684020996,0.7081831693649292,0.2073621153831482,0.622470498085022,0.5491613149642944,1.375983715057373,0.9198031425476074,0.39441341161727905
3,0.46339115500450134,0.4339727759361267,1.8862755298614502,0.7605957984924316,0.3074583411216736,0.7385475039482117,0.6864551305770874,0.991038978099823,0.9445286989212036,0.5411545634269714
4,0.5599491000175476,0.5344278216362,1.5131404399871826,0.7910574078559875,0.40634408593177795,0.7853507399559021,0.7717450857162476,0.7480983138084412,0.9358770251274109,0.6577281355857849
5,0.6304975152015686,0.6179717183113098,1.2374396324157715,0.8197541236877441,0.4987119436264038,0.8332712650299072,0.8240380883216858,0.6005265116691589,0.9482091069221497,0.729608952999115
6,0.6786368489265442,0.6700802445411682,1.0642313957214355,0.834800660610199,0.5621217489242554,0.8504034876823425,0.8504630327224731,0.5185893177986145,0.9503980278968811,0.7707014083862305
7,0.7180235385894775,0.7096400856971741,0.9346996545791626,0.8466417789459229,0.6130854487419128,0.8773432374000549,0.875006377696991,0.4286806285381317,0.9436154961585999,0.8165115118026733
8,0.743629515171051,0.7433674931526184,0.8385209441184998,0.8589805960655212,0.6569725871086121,0.8881440162658691,0.890164852142334,0.3769008219242096,0.9465008974075317,0.8412166237831116
9,0.7685216665267944,0.7672449350357056,0.7599049806594849,0.8670177459716797,0.6898413896560669,0.8978274464607239,0.9037854075431824,0.33643218874931335,0.9554510116577148,0.8573556542396545
10,0.781216025352478,0.7836495041847229,0.700331449508667,0.8752197027206421,0.7110090255737305,0.9094972014427185,0.9162344932556152,0.3100582957267761,0.9600163102149963,0.8763501048088074
11,0.7968900203704834,0.7999301552772522,0.6476215124130249,0.8807582259178162,0.7340699434280396,0.9166976809501648,0.9230813980102539,0.2799381613731384,0.9586732387542725,0.8898820877075195
12,0.8090567588806152,0.8123413324356079,0.6105563044548035,0.8843264579772949,0.7526614665985107,0.9224084615707397,0.9255915284156799,0.27049005031585693,0.9632115960121155,0.8906269669532776
13,0.825103223323822,0.8275659084320068,0.5643122792243958,0.8941646814346313,0.7709426283836365,0.9210428595542908,0.9259010553359985,0.251093327999115,0.9608707427978516,0.8932340145111084
14,0.8282380104064941,0.8319064378738403,0.5440667867660522,0.893683671951294,0.779043436050415,0.933705747127533,0.9355515837669373,0.2232765257358551,0.9670023918151855,0.9058969616889954
15,0.8376113176345825,0.8397201895713806,0.5199800729751587,0.896877110004425,0.7906515002250671,0.9333333373069763,0.9361608028411865,0.2260546237230301,0.9629775285720825,0.910614550113678
16,0.8452466130256653,0.8481828570365906,0.49766069650650024,0.9019313454627991,0.8015456795692444,0.9397889375686646,0.9423074722290039,0.20013472437858582,0.9690329432487488,0.9168218374252319
