epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.2547900676727295,0.02083960734307766,2.9417943954467773,0.9913544654846191,0.010966939851641655,0.3741392493247986,0.1047065407037735,2.381826162338257,0.9865771532058716,0.056235652416944504
1,0.4892084002494812,0.251050740480423,1.9475891590118408,0.9767928123474121,0.1489463448524475,0.5754909515380859,0.3800569474697113,1.599809169769287,0.9904407858848572,0.23782198131084442
2,0.6768578290939331,0.505662202835083,1.2865593433380127,0.9813659191131592,0.34587305784225464,0.7254526615142822,0.6053393483161926,1.0631415843963623,0.9656699895858765,0.4447844922542572
3,0.8250390291213989,0.7038740515708923,0.8194778561592102,0.9815975427627563,0.5543724298477173,0.8618974685668945,0.7863416075706482,0.664609432220459,0.9797271490097046,0.6593981385231018
4,0.9052826166152954,0.846976101398468,0.5148264765739441,0.9849740862846375,0.7460706830024719,0.9254016876220703,0.8836733102798462,0.4219570457935333,0.9833151698112488,0.8041316270828247
5,0.9461854696273804,0.9166052937507629,0.3306306302547455,0.9880085587501526,0.856313943862915,0.9539658427238464,0.9308260679244995,0.280288964509964,0.989389181137085,0.8798775672912598
6,0.9678005576133728,0.952512800693512,0.2187567800283432,0.9915227890014648,0.917301595211029,0.9720734357833862,0.9589202404022217,0.19141989946365356,0.9919640421867371,0.9287171363830566
7,0.9809991121292114,0.9720637798309326,0.14959585666656494,0.9940047860145569,0.9514457583427429,0.9822749495506287,0.9742637872695923,0.1377297192811966,0.9924632906913757,0.9571537971496582
8,0.9880766272544861,0.9840033650398254,0.10511618852615356,0.9961460828781128,0.9723594784736633,0.9852078557014465,0.981722891330719,0.10624616593122482,0.9934734106063843,0.9705432057380676
9,0.9926037192344666,0.9901143312454224,0.07533776760101318,0.9972192645072937,0.9832307696342468,0.9897985458374023,0.9878833293914795,0.078987717628479,0.9955975413322449,0.9804896712303162
10,0.9952816367149353,0.9935141205787659,0.055057626217603683,0.99778151512146,0.9893518686294556,0.9915837645530701,0.991267204284668,0.06116941198706627,0.9965210556983948,0.9862279891967773
11,0.9964612722396851,0.9958696365356445,0.04131241887807846,0.9985257387161255,0.9932731986045837,0.9933690428733826,0.9931344389915466,0.050358839333057404,0.9969167709350586,0.9895434975624084
12,0.9973539113998413,0.9970951676368713,0.031183339655399323,0.9987844824790955,0.9954410791397095,0.9941341280937195,0.9941837787628174,0.040551211684942245,0.9967957139015198,0.9917113184928894
13,0.9983103275299072,0.9981690645217896,0.02376939356327057,0.9994246959686279,0.996939480304718,0.9942616820335388,0.99476557970047,0.03532552346587181,0.9970539212226868,0.9926038980484009
14,0.998820424079895,0.9987486004829407,0.0183461494743824,0.9995210766792297,0.9979915022850037,0.9951543211936951,0.9954929351806641,0.029867446050047874,0.9971852898597717,0.9938791394233704
15,0.9992348551750183,0.9990531802177429,0.014166046865284443,0.9997445940971375,0.9983741044998169,0.9961744546890259,0.9960047006607056,0.026646263897418976,0.9974424839019775,0.9946442246437073
16,0.9993942975997925,0.99934321641922,0.011009495705366135,0.9997447729110718,0.9989479184150696,0.9965569972991943,0.9968425035476685,0.023025648668408394,0.9979552626609802,0.9957919120788574
17,0.9995536804199219,0.9995829463005066,0.008772682398557663,0.9998723864555359,0.9993624091148376,0.9965569972991943,0.9972377419471741,0.022024111822247505,0.9983386397361755,0.9961744546890259
18,0.9996811747550964,0.9996637105941772,0.007113147526979446,0.9998724460601807,0.9994580149650574,0.9966844916343689,0.9969081878662109,0.02088194340467453,0.9979555606842041,0.995919406414032
19,0.9998087286949158,0.9997594356536865,0.00587029242888093,0.9999362230300903,0.9995855689048767,0.9968120455741882,0.9972890615463257,0.018745703622698784,0.9984662532806396,0.9961744546890259
20,0.9998406171798706,0.9998235106468201,0.004906051326543093,0.9999681115150452,0.9996811747550964,0.9969395399093628,0.9972272515296936,0.017684517428278923,0.9980840682983398,0.9964295029640198
21,0.9998725056648254,0.9998552799224854,0.004118423443287611,1.0,0.9997130632400513,0.9969395399093628,0.9972286224365234,0.016887202858924866,0.9980840682983398,0.9964295029640198
22,0.9998406171798706,0.9998717308044434,0.0036253193393349648,0.9999681115150452,0.9997768402099609,0.9968120455741882,0.9974216818809509,0.016233770176768303,0.9980847835540771,0.9968120455741882
23,0.9998725056648254,0.9999035000801086,0.003182516433298588,1.0,0.9998087286949158,0.9970670938491821,0.9972298741340637,0.016147414222359657,0.9979568123817444,0.9965569972991943
24,0.9999043345451355,0.9999357461929321,0.0028010178357362747,1.0,0.9998725056648254,0.9971945881843567,0.9972311854362488,0.01567448489367962,0.9978296756744385,0.9966844916343689
25,0.9999362230300903,0.9999195337295532,0.0024870301131159067,1.0,0.9998406171798706,0.9974496364593506,0.9976120591163635,0.015163654461503029,0.9983399510383606,0.9969395399093628
26,0.9999043345451355,0.9999196529388428,0.002279335632920265,1.0,0.9998406171798706,0.9973220825195312,0.9974203109741211,0.01482110284268856,0.9982119798660278,0.9966844916343689
27,0.9999362230300903,0.9999198913574219,0.0020596557296812534,0.9999681115150452,0.9998725056648254,0.9974496364593506,0.9974203109741211,0.014570770785212517,0.9982119798660278,0.9966844916343689
28,0.9999362230300903,0.9999197125434875,0.001911659142933786,1.0,0.9998406171798706,0.9974496364593506,0.9974846243858337,0.014505322091281414,0.9982122182846069,0.9968120455741882
29,0.9999362230300903,0.9999517798423767,0.0017742575146257877,1.0,0.9999043345451355,0.9974496364593506,0.9974846243858337,0.014144119806587696,0.9982122182846069,0.9968120455741882
30,0.9999362230300903,0.9999517798423767,0.0016451355768367648,1.0,0.9999043345451355,0.9974496364593506,0.9974846243858337,0.014055540785193443,0.9982122182846069,0.9968120455741882
