epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.3626422584056854,0.30305251479148865,2.242969036102295,0.7699288129806519,0.2136959284543991,0.7838561534881592,0.7488054037094116,0.7251263856887817,0.9409842491149902,0.6242030262947083
1,0.7169637084007263,0.7052055597305298,0.8857911825180054,0.8471747636795044,0.6084738969802856,0.9115021824836731,0.9031707644462585,0.30632293224334717,0.9529062509536743,0.8592196106910706
2,0.8142315149307251,0.8102656602859497,0.582244336605072,0.8877183794975281,0.7468358278274536,0.945932149887085,0.9462175369262695,0.1985766589641571,0.9729365706443787,0.9214485883712769
3,0.8575254082679749,0.8557201027870178,0.44816774129867554,0.9072422385215759,0.810724675655365,0.9646773934364319,0.9640885591506958,0.13259147107601166,0.9801132678985596,0.9489926099777222
4,0.8872700333595276,0.8850888013839722,0.3647533655166626,0.9245315790176392,0.8494596481323242,0.9693955779075623,0.9714466333389282,0.10878250747919083,0.9831592440605164,0.96034175157547
5,0.8999585509300232,0.9003200531005859,0.31703439354896545,0.9329209923744202,0.8703733086585999,0.9757714867591858,0.9769424200057983,0.08717760443687439,0.9855974912643433,0.9686304330825806
6,0.9125195145606995,0.9112949967384338,0.2819499969482422,0.9393580555915833,0.8854528665542603,0.9821473956108093,0.981701135635376,0.07557477056980133,0.9886216521263123,0.9750064015388489
7,0.923613965511322,0.9227969646453857,0.2474013864994049,0.9451423287391663,0.9019032716751099,0.9824024438858032,0.981972873210907,0.06934290379285812,0.9882489442825317,0.9758989810943604
8,0.9299582242965698,0.9298095703125,0.22817225754261017,0.9514090418815613,0.9094908833503723,0.9841877222061157,0.9848410487174988,0.062479324638843536,0.9904577732086182,0.9794695377349854
9,0.9360474348068237,0.9357068538665771,0.2055026888847351,0.9548757672309875,0.9174929261207581,0.9844427704811096,0.984523594379425,0.06191139668226242,0.9900721907615662,0.9792144894599915
10,0.9389804601669312,0.9388293623924255,0.1979072391986847,0.9567260146141052,0.9219242930412292,0.987503170967102,0.9875836968421936,0.04770970717072487,0.9915177822113037,0.9838051795959473
11,0.9419453740119934,0.9412928223609924,0.18857836723327637,0.9576860666275024,0.9257500171661377,0.9852078557014465,0.9865582585334778,0.049081429839134216,0.9908681511878967,0.9824024438858032
12,0.9444001913070679,0.944148063659668,0.17805372178554535,0.9596997499465942,0.9292568564414978,0.9878857731819153,0.9887641668319702,0.04266129434108734,0.992547869682312,0.985080361366272
13,0.9480026960372925,0.9475077986717224,0.16975460946559906,0.9625439643859863,0.9331462979316711,0.9883958101272583,0.9893697500228882,0.04150021821260452,0.9938247799873352,0.985080361366272
14,0.9498517513275146,0.9496999382972717,0.16220438480377197,0.9636459350585938,0.9363343715667725,0.9894159436225891,0.9904987215995789,0.039395563304424286,0.9935848116874695,0.987503170967102
15,0.9524978399276733,0.9516721963882446,0.15529684722423553,0.9645452499389648,0.9392992854118347,0.9913287162780762,0.9910231828689575,0.03555287793278694,0.9943524599075317,0.9878857731819153
16,0.9556540250778198,0.9550517797470093,0.15051408112049103,0.9680746793746948,0.9425510764122009,0.9908186793327332,0.9906683564186096,0.040047235786914825,0.9943481087684631,0.9871206283569336
17,0.9514139294624329,0.9514073729515076,0.15428362786769867,0.9648708701133728,0.9386935234069824,0.991073727607727,0.9918946623802185,0.03390932083129883,0.9951232075691223,0.9887783527374268
18,0.956514835357666,0.9560096859931946,0.14632545411586761,0.9677377343177795,0.9448146224021912,0.9878857731819153,0.9879559278488159,0.04933496192097664,0.9944458603858948,0.9817648530006409
19,0.9576625227928162,0.9574174880981445,0.14064717292785645,0.9687744975090027,0.9465680718421936,0.9915837645530701,0.9921548366546631,0.03454964607954025,0.9946181178092957,0.9897985458374023
20,0.9573755860328674,0.9575483798980713,0.1362420618534088,0.9693920612335205,0.9460898637771606,0.991073727607727,0.9914984107017517,0.03651070222258568,0.9949923157691956,0.9881407618522644
21,0.9597347378730774,0.9593731164932251,0.13163095712661743,0.9702737927436829,0.9490228295326233,0.991073727607727,0.9913907647132874,0.031264763325452805,0.9939758777618408,0.9889059066772461
22,0.9646443724632263,0.9635968208312988,0.11963333934545517,0.9734916090965271,0.9541875123977661,0.9923489093780518,0.9918184876441956,0.03021378442645073,0.9951225519180298,0.9886508584022522
23,0.9666209816932678,0.9659992456436157,0.11478745937347412,0.9755233526229858,0.9567698240280151,0.9901810884475708,0.9904202818870544,0.034956879913806915,0.9937106966972351,0.9872481226921082
24,0.9657601714134216,0.9654958844184875,0.11063125729560852,0.9752235412597656,0.9561960101127625,0.9920938611030579,0.9919734597206116,0.030233904719352722,0.9948698282241821,0.98916095495224
25,0.9697771668434143,0.9683723449707031,0.10764932632446289,0.9776796102523804,0.9593521952629089,0.9933690428733826,0.993386447429657,0.02703886479139328,0.9958990216255188,0.9909461736679077
26,0.9685338139533997,0.9677826762199402,0.10557544231414795,0.9769700765609741,0.958873987197876,0.9941341280937195,0.9942792057991028,0.026834744960069656,0.9967961311340332,0.991838812828064
27,0.9691076874732971,0.968718409538269,0.10443759709596634,0.9780390858650208,0.9597985148429871,0.993241548538208,0.9934898614883423,0.027930863201618195,0.9962815642356873,0.9908186793327332
