epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.029113255441188812,0.0,5.129669189453125,0.0,0.0,0.06927374005317688,0.0,4.740337371826172,0.0,0.0
1,0.15850895643234253,0.00315222074277699,4.17161750793457,1.0,0.0016139545477926731,0.24990689754486084,0.01632177084684372,3.559511661529541,1.0,0.008441961370408535
2,0.3776963949203491,0.08790718764066696,2.973910331726074,0.9909502267837524,0.047580618411302567,0.4934823215007782,0.1864074468612671,2.4201836585998535,0.9893491268157959,0.10378646850585938
3,0.6326081156730652,0.3462057411670685,1.8533779382705688,0.9888101816177368,0.21667338907718658,0.7206704020500183,0.49612247943878174,1.4552782773971558,0.9882869720458984,0.33519554138183594
4,0.7885408997535706,0.6396260261535645,1.141087293624878,0.9877229928970337,0.47943758964538574,0.8319056630134583,0.737630307674408,0.948036789894104,0.9857349395751953,0.5919304490089417
5,0.8565442562103271,0.8044403195381165,0.7862634658813477,0.987326979637146,0.6818957924842834,0.8631905913352966,0.829876184463501,0.7507805824279785,0.9865440130233765,0.7190564870834351
6,0.8919581770896912,0.8669006824493408,0.603224515914917,0.9895936846733093,0.7733014822006226,0.8867784142494202,0.8774347305297852,0.5803611278533936,0.9879163503646851,0.7916821837425232
7,0.9110152125358582,0.8966552019119263,0.4969805181026459,0.9907799363136292,0.820478618144989,0.9039106369018555,0.8878776431083679,0.5270700454711914,0.9877216815948486,0.8089385628700256
8,0.92405104637146,0.9131305813789368,0.42994922399520874,0.9919671416282654,0.8470467925071716,0.9130974411964417,0.9017238616943359,0.4654518663883209,0.9899393320083618,0.8306641578674316
9,0.9326794743537903,0.9232285618782043,0.3847334682941437,0.9920926094055176,0.8644899129867554,0.9191806316375732,0.9114506244659424,0.4337373673915863,0.9895622134208679,0.8474239706993103
10,0.9400043487548828,0.9292891025543213,0.35535863041877747,0.9928125739097595,0.8746081590652466,0.9201738238334656,0.9172651767730713,0.42247477173805237,0.9877020120620728,0.8574798107147217
11,0.9479499459266663,0.9370888471603394,0.3218913674354553,0.9938127994537354,0.8873956203460693,0.925387978553772,0.9161173701286316,0.4129728376865387,0.988095223903656,0.8552451729774475
12,0.9522021412849426,0.9414962530136108,0.3022940456867218,0.9931535124778748,0.8959619998931885,0.9310986995697021,0.9219313263893127,0.38869863748550415,0.9892213940620422,0.8659217953681946
13,0.9543126821517944,0.9443680047988892,0.2891841232776642,0.9934613704681396,0.9007107615470886,0.9293606281280518,0.9254990816116333,0.3835928738117218,0.9877637028694153,0.871880829334259
14,0.9581613540649414,0.947429358959198,0.277241975069046,0.9946471452713013,0.9054595232009888,0.9338299036026001,0.9279389381408691,0.3701320290565491,0.988095223903656,0.8758534789085388
15,0.962413489818573,0.9523590803146362,0.25862812995910645,0.9948652386665344,0.9140568971633911,0.9354438185691833,0.9296466112136841,0.3613194227218628,0.9900532364845276,0.8773432374000549
16,0.9671311974525452,0.9557237029075623,0.24583664536476135,0.9955657124519348,0.9198299050331116,0.9374301433563232,0.9326671361923218,0.3593846261501312,0.9902507066726685,0.8826815485954285
17,0.9684037566184998,0.9573165774345398,0.24149824678897858,0.9959114193916321,0.9223439693450928,0.9414028525352478,0.9321155548095703,0.3520815670490265,0.9896921515464783,0.8820608258247375
18,0.9712591767311096,0.9583666324615479,0.2413192242383957,0.996451199054718,0.9237716794013977,0.9390440583229065,0.9332695603370667,0.3641420900821686,0.9908090829849243,0.8833022713661194
19,0.9730283617973328,0.958442747592926,0.24722321331501007,0.9969509243965149,0.9234923720359802,0.9382991790771484,0.9287827014923096,0.3801730275154114,0.9877060651779175,0.8777157068252563
20,0.9734628796577454,0.9571942090988159,0.2581022381782532,0.997846782207489,0.9205437898635864,0.938795804977417,0.9293219447135925,0.3937349319458008,0.9928128719329834,0.874612033367157
21,0.9749836921691895,0.955697774887085,0.2679830491542816,0.997638463973999,0.9178435206413269,0.9339540600776672,0.9221273064613342,0.41979485750198364,0.990170955657959,0.8629422783851624
22,0.9749216437339783,0.9536875486373901,0.28247159719467163,0.9980678558349609,0.9138706922531128,0.9391682147979736,0.9261878728866577,0.40993475914001465,0.9937491416931152,0.868404746055603
23,0.9748595356941223,0.9507961273193359,0.29915758967399597,0.9979887008666992,0.9086253643035889,0.9375542998313904,0.9219798445701599,0.42840835452079773,0.9941218495368958,0.8608317971229553
24,0.9737421870231628,0.9482296705245972,0.3186027407646179,0.9984568357467651,0.9036903977394104,0.9373060464859009,0.9187778234481812,0.45069053769111633,0.9955222010612488,0.8556176424026489
25,0.973835289478302,0.9436950087547302,0.3416561782360077,0.9990646243095398,0.8950619101524353,0.9334574937820435,0.913138210773468,0.4816663861274719,0.9956095218658447,0.8445686101913452
26,0.9726869463920593,0.9389899373054504,0.3653351366519928,0.9988816976547241,0.8871473073959351,0.9303538203239441,0.9039269685745239,0.5298232436180115,0.996268630027771,0.8286778330802917
27,0.9719730615615845,0.9327150583267212,0.3952760398387909,0.9989027976989746,0.8759427666664124,0.9286157488822937,0.901194155216217,0.5407754778862,0.9966952204704285,0.8237119913101196
