epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7125322818756104,0.647394597530365,1.0938605070114136,0.9781671166419983,0.5856154561042786,0.9825299382209778,0.9798067212104797,0.10508490353822708,0.9925441741943359,0.9676102995872498
1,0.989925742149353,0.9893698692321777,0.05697297304868698,0.9944288730621338,0.9844741225242615,0.9947717189788818,0.9950476884841919,0.032320618629455566,0.9974375367164612,0.9927314519882202
2,0.9954729676246643,0.9955960512161255,0.023617561906576157,0.9973128437995911,0.9939107894897461,0.9960469007492065,0.9962285757064819,0.020971382036805153,0.9971892237663269,0.9952818155288696
3,0.9958555102348328,0.995952844619751,0.01967698521912098,0.9972193837165833,0.9947078227996826,0.9979597330093384,0.9978898167610168,0.011761397123336792,0.9987226724624634,0.9970670938491821
4,0.999298632144928,0.9993932247161865,0.0044134086929261684,0.9995853900909424,0.9992029666900635,0.9975771307945251,0.9974432587623596,0.012045673094689846,0.9980847835540771,0.9968120455741882
5,0.9988842010498047,0.9988477230072021,0.005741946864873171,0.9991706013679504,0.9985334873199463,0.995919406414032,0.9957705140113831,0.019894415512681007,0.9971867203712463,0.9943891763687134
6,0.9975132942199707,0.9974875450134277,0.010232978500425816,0.9982439279556274,0.996748149394989,0.9926038980484009,0.9932228326797485,0.02961886301636696,0.9948822855949402,0.9915837645530701
7,0.996238112449646,0.9961673021316528,0.014201382175087929,0.9970617294311523,0.9952816367149353,0.987503170967102,0.9879985451698303,0.04218604043126106,0.9897619485855103,0.9862279891967773
8,0.9995855689048767,0.9995843172073364,0.0020038634538650513,0.9997130036354065,0.9994580149650574,0.9979597330093384,0.9978948831558228,0.010433269664645195,0.9982135891914368,0.9975771307945251
9,1.0,0.9999838471412659,0.00035335536813363433,1.0,0.9999681115150452,0.9983422756195068,0.9985331892967224,0.007926484569907188,0.9987243413925171,0.9983422756195068
10,1.0,1.0,0.00010085426765726879,1.0,1.0,0.9985973238945007,0.9985975623130798,0.007381444331258535,0.9987244606018066,0.9984697699546814
11,1.0,1.0,6.444945029215887e-05,1.0,1.0,0.9984697699546814,0.99847012758255,0.007357100024819374,0.9985969662666321,0.9983422756195068
12,1.0,1.0,4.830031321034767e-05,1.0,1.0,0.9984697699546814,0.9985975623130798,0.0074663590639829636,0.9987244606018066,0.9984697699546814
13,1.0,1.0,3.717918662005104e-05,1.0,1.0,0.9983422756195068,0.9984071850776672,0.007379806134849787,0.9984695911407471,0.9983422756195068
14,1.0,1.0,2.925412991316989e-05,1.0,1.0,0.9984697699546814,0.9985319375991821,0.007580298464745283,0.9988515973091125,0.9982147216796875
15,1.0,1.0,2.238521665276494e-05,1.0,1.0,0.9985973238945007,0.9986606240272522,0.007310923188924789,0.9988518953323364,0.9984697699546814
16,1.0,1.0,1.7390251741744578e-05,1.0,1.0,0.9987248182296753,0.9985975623130798,0.007181703113019466,0.9987244606018066,0.9984697699546814
17,1.0,1.0,1.3014263458899222e-05,1.0,1.0,0.9985973238945007,0.9985975623130798,0.007026994600892067,0.9987244606018066,0.9984697699546814
18,1.0,1.0,9.607923857402056e-06,1.0,1.0,0.9985973238945007,0.9986618757247925,0.007230527698993683,0.998724639415741,0.9985973238945007
